#fields plotid, dates (x=processed)
Plot01, 230516x,230525x,230530x,230601x,230606x,230613x,230619x,230621x,230625x,230629x,230705x,230711x,230719x,230726x,230801x,230807x,230815x,230821x
Plot02,         230525x,230530x,230601x,230606x,230613x,230619x,230621x,230625x,230629x,230705x,230711x,230719x,230726x,230801x,230807x,230815x,230821x
Plot03,                         230601x,230606x,230613x,230619x,230621x,230625x,230629x,230705x,230711x
Plot04,                         230601x,230606x,230613x,230619x,230621x,230625x,230629x
Plot05,                                         230613x,230619x,230621x,230625x,230629x,230705x,230711x,230719x,230726x,230801x,230807x,230815x,230821x
Plot06,                 230530x,230601x,230606x,230613x,230619x,230621x,230625x,230629x,230705x,230711x,230719x,230726x,230801x,230807x,230815x,230821x
Plot07, 230516x,230525x,230530x,230601x,230606x,230613x,230619x,230621x,230625x,230629x,230705x,230711x,230719x,230726x,230801x,230807x,230815x,230821x
